CMDLINE /home/oscar/anaconda2/envs/devito_newest/bin/python ./utest_nodask_naws.py
MEM 1.636719 1571172587.3157
MEM 19.781250 1571172587.4161
MEM 31.117188 1571172587.5164
MEM 40.003906 1571172587.6168
MEM 74.914062 1571172587.7171
MEM 84.703125 1571172587.8175
MEM 91.230469 1571172587.9178
MEM 98.980469 1571172588.0182
MEM 98.980469 1571172588.1186
MEM 105.300781 1571172588.2189
MEM 107.027344 1571172588.3193
MEM 109.285156 1571172588.4196
MEM 117.246094 1571172588.5199
MEM 122.214844 1571172588.6203
MEM 183.953125 1571172588.7207
MEM 434.546875 1571172588.8211
MEM 612.550781 1571172588.9215
MEM 612.550781 1571172589.0217
MEM 612.550781 1571172589.1220
MEM 612.550781 1571172589.2223
MEM 612.550781 1571172589.3225
MEM 612.550781 1571172589.4229
MEM 612.550781 1571172589.5231
MEM 612.550781 1571172589.6234
MEM 612.550781 1571172589.7236
MEM 612.550781 1571172589.8239
MEM 612.550781 1571172589.9242
MEM 612.550781 1571172590.0244
MEM 612.550781 1571172590.1247
MEM 612.550781 1571172590.2250
MEM 612.550781 1571172590.3252
MEM 612.550781 1571172590.4255
MEM 612.550781 1571172590.5258
MEM 612.550781 1571172590.6261
MEM 612.550781 1571172590.7263
MEM 612.550781 1571172590.8266
MEM 612.550781 1571172590.9268
MEM 613.167969 1571172591.0270
MEM 613.710938 1571172591.1273
MEM 615.015625 1571172591.2276
MEM 616.695312 1571172591.3280
MEM 616.867188 1571172591.4283
MEM 617.273438 1571172591.5286
MEM 617.441406 1571172591.6289
MEM 617.449219 1571172591.7293
MEM 617.964844 1571172591.8297
MEM 618.578125 1571172591.9299
MEM 619.062500 1571172592.0302
MEM 619.214844 1571172592.1305
MEM 619.527344 1571172592.2308
MEM 619.527344 1571172592.3311
MEM 620.058594 1571172592.4315
MEM 620.449219 1571172592.5318
MEM 620.703125 1571172592.6321
MEM 620.859375 1571172592.7324
MEM 621.328125 1571172592.8327
MEM 621.937500 1571172592.9330
MEM 621.937500 1571172593.0333
MEM 621.937500 1571172593.1336
MEM 622.039062 1571172593.2339
MEM 622.109375 1571172593.3342
MEM 622.320312 1571172593.4345
MEM 622.972656 1571172593.5348
MEM 622.972656 1571172593.6350
MEM 622.972656 1571172593.7353
MEM 622.976562 1571172593.8356
MEM 622.976562 1571172593.9358
MEM 622.976562 1571172594.0361
MEM 622.976562 1571172594.1364
MEM 623.085938 1571172594.2367
MEM 623.085938 1571172594.3370
MEM 623.085938 1571172594.4373
MEM 623.085938 1571172594.5375
MEM 623.085938 1571172594.6378
MEM 623.085938 1571172594.7381
MEM 623.085938 1571172594.8384
MEM 623.085938 1571172594.9387
MEM 623.085938 1571172595.0390
MEM 623.085938 1571172595.1393
MEM 623.085938 1571172595.2397
MEM 623.085938 1571172595.3400
MEM 623.085938 1571172595.4404
MEM 623.085938 1571172595.5407
MEM 623.246094 1571172595.6410
MEM 623.257812 1571172595.7413
MEM 623.257812 1571172595.8416
MEM 623.257812 1571172595.9419
MEM 623.257812 1571172596.0422
MEM 623.257812 1571172596.1425
MEM 623.257812 1571172596.2428
MEM 623.257812 1571172596.3431
MEM 623.257812 1571172596.4434
MEM 623.445312 1571172596.5437
MEM 623.445312 1571172596.6441
MEM 623.863281 1571172596.7444
MEM 623.863281 1571172596.8448
MEM 623.863281 1571172596.9451
MEM 623.863281 1571172597.0455
MEM 623.972656 1571172597.1458
MEM 623.972656 1571172597.2461
MEM 623.972656 1571172597.3464
MEM 624.054688 1571172597.4467
MEM 624.054688 1571172597.5471
MEM 624.773438 1571172597.6474
MEM 624.890625 1571172597.7477
MEM 624.890625 1571172597.8480
MEM 624.890625 1571172597.9482
MEM 624.890625 1571172598.0485
MEM 624.890625 1571172598.1488
MEM 625.375000 1571172598.2492
MEM 626.214844 1571172598.3495
MEM 626.214844 1571172598.4498
MEM 626.214844 1571172598.5501
MEM 626.214844 1571172598.6503
MEM 626.214844 1571172598.7506
MEM 626.214844 1571172598.8509
MEM 626.214844 1571172598.9512
MEM 626.214844 1571172599.0514
MEM 626.214844 1571172599.1517
MEM 626.214844 1571172599.2520
MEM 626.214844 1571172599.3523
MEM 626.214844 1571172599.4526
MEM 626.214844 1571172599.5529
MEM 626.214844 1571172599.6532
MEM 626.214844 1571172599.7535
MEM 626.214844 1571172599.8537
MEM 626.214844 1571172599.9540
MEM 626.214844 1571172600.0543
MEM 626.214844 1571172600.1547
MEM 626.214844 1571172600.2550
MEM 626.214844 1571172600.3553
MEM 626.214844 1571172600.4557
MEM 635.437500 1571172600.5560
MEM 637.976562 1571172600.6563
MEM 638.007812 1571172600.7567
MEM 638.011719 1571172600.8569
MEM 638.031250 1571172600.9572
MEM 638.031250 1571172601.0574
MEM 638.031250 1571172601.1578
MEM 638.031250 1571172601.2580
MEM 638.035156 1571172601.3583
MEM 638.035156 1571172601.4586
MEM 638.035156 1571172601.5589
MEM 638.039062 1571172601.6592
MEM 638.042969 1571172601.7595
MEM 638.042969 1571172601.8598
MEM 638.046875 1571172601.9601
MEM 638.046875 1571172602.0603
MEM 638.046875 1571172602.1606
MEM 638.046875 1571172602.2609
MEM 638.046875 1571172602.3612
MEM 638.046875 1571172602.4615
MEM 638.046875 1571172602.5618
MEM 638.046875 1571172602.6621
MEM 638.046875 1571172602.7623
MEM 638.046875 1571172602.8626
MEM 638.046875 1571172602.9629
MEM 638.046875 1571172603.0632
MEM 638.046875 1571172603.1635
MEM 638.046875 1571172603.2637
MEM 638.082031 1571172603.3641
MEM 638.082031 1571172603.4644
MEM 638.082031 1571172603.5648
MEM 638.082031 1571172603.6651
MEM 638.082031 1571172603.7653
MEM 638.082031 1571172603.8656
MEM 638.082031 1571172603.9659
MEM 638.082031 1571172604.0662
MEM 638.082031 1571172604.1665
MEM 638.082031 1571172604.2668
MEM 638.082031 1571172604.3670
MEM 638.082031 1571172604.4673
MEM 638.082031 1571172604.5676
MEM 638.082031 1571172604.6679
MEM 638.082031 1571172604.7683
MEM 638.082031 1571172604.8685
MEM 638.082031 1571172604.9688
MEM 638.082031 1571172605.0691
MEM 638.082031 1571172605.1694
MEM 638.082031 1571172605.2697
MEM 638.082031 1571172605.3700
MEM 638.082031 1571172605.4703
MEM 638.082031 1571172605.5706
MEM 638.082031 1571172605.6709
MEM 638.082031 1571172605.7712
MEM 638.082031 1571172605.8715
MEM 638.082031 1571172605.9719
MEM 638.082031 1571172606.0722
MEM 638.082031 1571172606.1725
MEM 638.082031 1571172606.2727
MEM 638.082031 1571172606.3730
MEM 638.082031 1571172606.4733
MEM 638.082031 1571172606.5736
MEM 638.082031 1571172606.6740
MEM 638.082031 1571172606.7742
MEM 638.082031 1571172606.8745
MEM 638.082031 1571172606.9747
MEM 638.082031 1571172607.0751
MEM 638.082031 1571172607.1754
MEM 638.082031 1571172607.2757
MEM 638.082031 1571172607.3759
MEM 638.082031 1571172607.4762
