CMDLINE /home/oscar/anaconda2/envs/devito_newest/bin/python ./utest_nodask_naws.py
MEM 1.593750 1571164659.1058
MEM 19.507812 1571164659.2062
MEM 30.128906 1571164659.3066
MEM 37.648438 1571164659.4070
MEM 69.414062 1571164659.5073
MEM 81.503906 1571164659.6077
MEM 90.488281 1571164659.7080
MEM 98.527344 1571164659.8084
MEM 98.726562 1571164659.9087
MEM 101.347656 1571164660.0090
MEM 106.808594 1571164660.1094
MEM 106.847656 1571164660.2097
MEM 113.968750 1571164660.3101
MEM 119.730469 1571164660.4105
MEM 137.078125 1571164660.5109
MEM 327.554688 1571164660.6114
MEM 586.914062 1571164660.7118
MEM 612.558594 1571164660.8122
MEM 612.558594 1571164660.9126
MEM 612.558594 1571164661.0130
MEM 612.558594 1571164661.1133
MEM 612.558594 1571164661.2137
MEM 612.558594 1571164661.3141
MEM 612.558594 1571164661.4145
MEM 612.558594 1571164661.5148
MEM 612.558594 1571164661.6152
MEM 612.558594 1571164661.7156
MEM 612.558594 1571164661.8159
MEM 612.558594 1571164661.9163
MEM 612.558594 1571164662.0166
MEM 612.558594 1571164662.1170
MEM 612.558594 1571164662.2173
MEM 612.558594 1571164662.3177
MEM 612.558594 1571164662.4181
MEM 612.558594 1571164662.5184
MEM 612.558594 1571164662.6188
MEM 612.558594 1571164662.7192
MEM 612.558594 1571164662.8196
MEM 612.812500 1571164662.9199
MEM 613.250000 1571164663.0203
MEM 613.953125 1571164663.1206
MEM 615.148438 1571164663.2210
MEM 616.566406 1571164663.3213
MEM 616.632812 1571164663.4216
MEM 616.796875 1571164663.5220
MEM 617.296875 1571164663.6224
MEM 617.410156 1571164663.7227
MEM 617.414062 1571164663.8231
MEM 617.894531 1571164663.9235
MEM 618.746094 1571164664.0239
MEM 619.019531 1571164664.1242
MEM 619.238281 1571164664.2246
MEM 619.562500 1571164664.3250
MEM 619.804688 1571164664.4254
MEM 620.007812 1571164664.5257
MEM 620.476562 1571164664.6261
MEM 620.734375 1571164664.7264
MEM 620.867188 1571164664.8268
MEM 621.355469 1571164664.9271
MEM 621.960938 1571164665.0275
MEM 621.960938 1571164665.1277
MEM 621.960938 1571164665.2281
MEM 622.042969 1571164665.3284
MEM 622.113281 1571164665.4290
MEM 622.296875 1571164665.5294
MEM 622.968750 1571164665.6298
MEM 622.968750 1571164665.7301
MEM 622.968750 1571164665.8305
MEM 622.968750 1571164665.9308
MEM 622.968750 1571164666.0312
MEM 622.968750 1571164666.1315
MEM 622.976562 1571164666.2319
MEM 622.976562 1571164666.3323
MEM 622.976562 1571164666.4327
MEM 622.976562 1571164666.5330
MEM 622.976562 1571164666.6336
MEM 622.976562 1571164666.7339
MEM 622.976562 1571164666.8343
MEM 622.976562 1571164666.9346
MEM 622.976562 1571164667.0350
MEM 622.976562 1571164667.1354
MEM 622.976562 1571164667.2357
MEM 622.976562 1571164667.3361
MEM 623.171875 1571164667.4364
MEM 623.171875 1571164667.5368
MEM 623.171875 1571164667.6373
MEM 623.171875 1571164667.7376
MEM 623.171875 1571164667.8380
MEM 623.250000 1571164667.9384
MEM 623.261719 1571164668.0387
MEM 623.261719 1571164668.1391
MEM 623.261719 1571164668.2395
MEM 623.261719 1571164668.3400
MEM 623.261719 1571164668.4403
MEM 623.261719 1571164668.5407
MEM 623.261719 1571164668.6410
MEM 623.261719 1571164668.7414
MEM 623.261719 1571164668.8418
MEM 623.453125 1571164668.9421
MEM 623.597656 1571164669.0425
MEM 623.843750 1571164669.1428
MEM 623.843750 1571164669.2432
MEM 623.843750 1571164669.3436
MEM 623.843750 1571164669.4440
MEM 623.957031 1571164669.5443
MEM 623.957031 1571164669.6447
MEM 623.957031 1571164669.7450
MEM 624.050781 1571164669.8454
MEM 624.050781 1571164669.9457
MEM 624.769531 1571164670.0461
MEM 624.886719 1571164670.1464
MEM 624.886719 1571164670.2468
MEM 624.886719 1571164670.3471
MEM 624.886719 1571164670.4474
MEM 624.886719 1571164670.5478
MEM 624.886719 1571164670.6481
MEM 626.226562 1571164670.7485
MEM 626.226562 1571164670.8488
MEM 626.226562 1571164670.9492
MEM 626.226562 1571164671.0496
MEM 626.226562 1571164671.1501
MEM 626.226562 1571164671.2505
MEM 626.226562 1571164671.3509
MEM 626.226562 1571164671.4512
MEM 626.226562 1571164671.5516
MEM 626.226562 1571164671.6519
MEM 626.226562 1571164671.7523
MEM 626.226562 1571164671.8526
MEM 626.226562 1571164671.9530
MEM 626.226562 1571164672.0533
MEM 626.226562 1571164672.1537
MEM 626.226562 1571164672.2543
MEM 626.226562 1571164672.3547
MEM 626.226562 1571164672.4550
MEM 626.226562 1571164672.5554
MEM 626.226562 1571164672.6558
MEM 626.226562 1571164672.7562
MEM 626.226562 1571164672.8565
MEM 626.226562 1571164672.9569
MEM 626.226562 1571164673.0572
MEM 626.226562 1571164673.1575
MEM 637.984375 1571164673.2579
MEM 637.984375 1571164673.3583
MEM 638.015625 1571164673.4586
MEM 638.035156 1571164673.5592
MEM 638.035156 1571164673.6598
MEM 638.035156 1571164673.7602
MEM 638.039062 1571164673.8606
MEM 638.039062 1571164673.9609
MEM 638.046875 1571164674.0613
MEM 638.046875 1571164674.1616
MEM 638.046875 1571164674.2620
MEM 638.050781 1571164674.3623
MEM 638.050781 1571164674.4627
MEM 638.050781 1571164674.5631
MEM 638.058594 1571164674.6634
MEM 638.058594 1571164674.7638
MEM 638.058594 1571164674.8641
MEM 638.058594 1571164674.9645
MEM 638.058594 1571164675.0649
MEM 638.058594 1571164675.1652
MEM 638.058594 1571164675.2656
MEM 638.058594 1571164675.3659
MEM 638.058594 1571164675.4663
MEM 638.058594 1571164675.5666
MEM 638.058594 1571164675.6670
MEM 638.058594 1571164675.7673
