CMDLINE /home/oscar/anaconda2/envs/devito_newest/bin/python ./utest_nodask_naws.py
MEM 1.605469 1571166202.1397
MEM 19.406250 1571166202.2401
MEM 30.421875 1571166202.3404
MEM 37.570312 1571166202.4408
MEM 72.375000 1571166202.5411
MEM 83.890625 1571166202.6414
MEM 90.699219 1571166202.7419
MEM 98.738281 1571166202.8422
MEM 98.937500 1571166202.9425
MEM 104.023438 1571166203.0429
MEM 107.042969 1571166203.1433
MEM 107.156250 1571166203.2437
MEM 117.015625 1571166203.3440
MEM 121.316406 1571166203.4444
MEM 146.875000 1571166203.5447
MEM 398.757812 1571166203.6451
MEM 612.890625 1571166203.7455
MEM 612.984375 1571166203.8457
MEM 612.984375 1571166203.9460
MEM 612.984375 1571166204.0463
MEM 612.984375 1571166204.1467
MEM 612.984375 1571166204.2470
MEM 612.984375 1571166204.3474
MEM 612.984375 1571166204.4477
MEM 612.984375 1571166204.5480
MEM 612.984375 1571166204.6483
MEM 612.984375 1571166204.7487
MEM 612.984375 1571166204.8490
MEM 612.984375 1571166204.9493
MEM 612.984375 1571166205.0496
MEM 612.984375 1571166205.1500
MEM 612.984375 1571166205.2503
MEM 612.984375 1571166205.3506
MEM 612.984375 1571166205.4509
MEM 612.984375 1571166205.5512
MEM 612.984375 1571166205.6516
MEM 613.281250 1571166205.7519
MEM 613.550781 1571166205.8522
MEM 614.433594 1571166205.9526
MEM 615.511719 1571166206.0529
MEM 617.070312 1571166206.1533
MEM 617.234375 1571166206.2536
MEM 617.628906 1571166206.3539
MEM 617.789062 1571166206.4543
MEM 617.792969 1571166206.5546
MEM 618.542969 1571166206.6550
MEM 619.148438 1571166206.7553
MEM 619.398438 1571166206.8557
MEM 619.601562 1571166206.9560
MEM 619.929688 1571166207.0564
MEM 620.171875 1571166207.1568
MEM 620.472656 1571166207.2572
MEM 620.847656 1571166207.3575
MEM 621.101562 1571166207.4578
MEM 621.250000 1571166207.5581
MEM 621.984375 1571166207.6585
MEM 622.230469 1571166207.7588
MEM 622.421875 1571166207.8592
MEM 622.421875 1571166207.9595
MEM 622.453125 1571166208.0599
MEM 622.523438 1571166208.1602
MEM 622.707031 1571166208.2605
MEM 623.433594 1571166208.3609
MEM 623.433594 1571166208.4612
MEM 623.441406 1571166208.5616
MEM 623.445312 1571166208.6619
MEM 623.445312 1571166208.7623
MEM 623.445312 1571166208.8626
MEM 623.445312 1571166208.9630
MEM 623.457031 1571166209.0633
MEM 623.457031 1571166209.1636
MEM 623.457031 1571166209.2640
MEM 623.457031 1571166209.3643
MEM 623.457031 1571166209.4646
MEM 623.457031 1571166209.5649
MEM 623.457031 1571166209.6652
MEM 623.457031 1571166209.7656
MEM 623.457031 1571166209.8659
MEM 623.457031 1571166209.9662
MEM 623.457031 1571166210.0666
MEM 623.457031 1571166210.1669
MEM 623.457031 1571166210.2673
MEM 623.457031 1571166210.3676
